Date,Heure,Station,Nb_validations
20190116,7,Guy-Concordia,829
20190116,7,Henri-Bourassa,2736
20190116,7,Honoré-Beaugrand,4187
20190116,7,Jarry,1325
20190116,7,Jean-Drapeau,24
20190116,7,Jean-Talon,1324
20190116,7,Jolicoeur,1563
20190116,7,Joliette,1441
20190116,7,LaSalle,739
20190116,7,Langelier,1253
20190116,7,Laurier,1466
20190116,7,Lionel-Groulx,1364
20190116,7,Longueuil,5937
20190116,7,Lucien-L'Allier,558
20190116,7,McGill,410
20190116,7,Monk,934
20190116,7,Mont-Royal,1164
20190116,7,Montmorency,3995
20190116,7,Namur,648
20190116,7,Outremont,494
20190116,7,Papineau,893
20190116,7,Parc,1058
20190116,7,Peel,230
20190116,7,Pie-IX,1898
20190116,7,Place-Saint-Henri,845
20190116,7,Place-d'Armes,186
20190116,7,Place-des-Arts,492
20190116,7,Plamondon,1756
20190116,7,Préfontaine,783
20190116,7,Radisson,1999
20190116,7,Rosemont,1030
20190116,7,Saint-Laurent,214
20190116,7,Saint-Michel,2401
20190116,7,Sauvé,2074
20190116,7,Sherbrooke,989
20190116,7,Snowdon,1439
20190116,7,Square-Victoria,513
20190116,7,Université-de-Montréal,203
20190116,7,Vendôme,3499
20190116,7,Verdun,1026
20190116,7,Viau,1263
20190116,7,Villa-Maria,1443
20190116,7,Édouard-Montpetit,179
20190116,8,Acadie,446
20190116,8,Angrignon,2666
20190116,8,Assomption,509
20190116,8,Atwater,1182
20190116,8,Beaubien,2266
20190116,8,Berri-UQAM,1646
20190116,8,Bonaventure,3662
20190116,8,Cadillac,1412
20190116,8,Cartier,1638
20190116,8,Champ-de-Mars,487
20190116,8,Charlevoix,1072
20190116,8,Crémazie,1619
20190116,8,Côte-Sainte-Catherine,1029
20190116,8,Côte-Vertu,3462
20190116,8,Côte-des-Neiges,924
20190116,8,D'Iberville,1090
20190116,8,De Castelnau,703
20190116,8,De l'Église,1610
20190116,8,De la Concorde,1162
20190116,8,De la Savane,284
20190116,8,Du Collège,804
20190116,8,Fabre,1614
20190116,8,Frontenac,1305
20190116,8,Georges-Vanier,488
20190116,8,Guy-Concordia,1474
20190116,8,Henri-Bourassa,2570
20190116,8,Honoré-Beaugrand,3211
20190116,8,Jarry,2068
20190116,8,Jean-Drapeau,20
20190116,8,Jean-Talon,2083
20190116,8,Jolicoeur,1590
20190116,8,Joliette,1995
20190116,8,LaSalle,998
20190116,8,Langelier,1235
20190116,8,Laurier,2582
20190116,8,Lionel-Groulx,1965
20190116,8,Longueuil,6227
20190116,8,Lucien-L'Allier,829
20190116,8,McGill,706
20190116,8,Monk,950
20190116,8,Mont-Royal,2057
20190116,8,Montmorency,2761
20190116,8,Namur,714
